Date, Open, High, Low, Close, Volume
05/11/23, 173.85, 174.59, 172.17, 173.75, 49514680
05/10/23, 173.02, 174.03, 171.90, 173.555, 53724500
05/09/23, 173.05, 173.54, 171.60, 171.77, 45326871
05/08/23, 172.48, 173.85, 172.11, 173.50, 55962793
05/05/23, 170.975, 174.30, 170.76, 173.57, 113453203
05/04/23, 164.89, 167.04, 164.31, 165.79, 81235430
05/03/23, 169.50, 170.92, 167.16, 167.45, 65136020
05/02/23, 170.09, 170.35, 167.54, 168.54, 48425699
05/01/23, 169.28, 170.45, 168.64, 169.59, 52472941
04/28/23, 168.49, 169.85, 167.8801, 169.68, 55275848
04/27/23, 165.19, 168.56, 165.19, 168.41, 64902328
04/26/23, 163.055, 165.28, 162.80, 163.76, 45498801
04/25/23, 165.19, 166.305, 163.73, 163.77, 48714059
04/24/23, 165.00, 165.60, 163.89, 165.33, 41949578
04/21/23, 165.05, 166.4521, 164.49, 165.02, 58337340
04/20/23, 166.09, 167.87, 165.56, 166.65, 52456379
04/19/23, 165.80, 168.16, 165.54, 167.63, 47720168
04/18/23, 166.10, 167.41, 165.65, 166.47, 49923008
04/17/23, 165.09, 165.39, 164.03, 165.23, 41516219
04/14/23, 164.59, 166.32, 163.82, 165.21, 49386480
04/13/23, 161.63, 165.80, 161.42, 165.56, 68445648
04/12/23, 161.22, 162.06, 159.78, 160.10, 50133059
04/11/23, 162.35, 162.36, 160.51, 160.80, 47644219
04/10/23, 161.42, 162.03, 160.08, 162.03, 47716879
04/06/23, 162.43, 164.9584, 162.00, 164.66, 45390121
04/05/23, 164.74, 165.05, 161.80, 163.76, 51511738
04/04/23, 166.595, 166.84, 165.11, 165.63, 46278301
04/03/23, 164.27, 166.29, 164.22, 166.17, 56976191
03/31/23, 162.44, 165.00, 161.91, 164.90, 68749789
03/30/23, 161.53, 162.47, 161.271, 162.36, 49501688
03/29/23, 159.37, 161.05, 159.35, 160.77, 51305688
03/28/23, 157.97, 158.49, 155.98, 157.65, 45992152
03/27/23, 159.94, 160.77, 157.87, 158.28, 52390273
03/24/23, 158.86, 160.34, 157.85, 160.25, 59256340
03/23/23, 158.83, 161.5501, 157.68, 158.93, 67622062
03/22/23, 159.30, 162.14, 157.81, 157.83, 75701805
03/21/23, 157.32, 159.40, 156.54, 159.28, 73938289
03/20/23, 155.07, 157.82, 154.15, 157.40, 73641422
03/17/23, 156.08, 156.74, 154.28, 155.00, 98944633
03/16/23, 152.16, 156.46, 151.64, 155.85, 76254414
03/15/23, 151.19, 153.245, 149.92, 152.99, 77167875
03/14/23, 151.28, 153.40, 150.10, 152.59, 73695891
03/13/23, 147.805, 153.14, 147.70, 150.47, 84457117
03/10/23, 150.21, 150.94, 147.6096, 148.50, 68572398
03/09/23, 153.559, 154.535, 150.225, 150.59, 53833578
03/08/23, 152.81, 153.47, 151.83, 152.87, 47204793
03/07/23, 153.70, 154.0299, 151.13, 151.60, 56182031
03/06/23, 153.785, 156.30, 153.46, 153.83, 87558031
03/03/23, 148.045, 151.11, 147.33, 151.03, 70732305
03/02/23, 144.38, 146.71, 143.90, 145.91, 52279762
03/01/23, 146.83, 147.2285, 145.01, 145.31, 55478992
02/28/23, 147.05, 149.08, 146.83, 147.41, 50547000
02/27/23, 147.71, 149.17, 147.45, 147.92, 44998473
02/24/23, 147.11, 147.19, 145.7202, 146.71, 55469609
02/23/23, 150.09, 150.34, 147.24, 149.40, 48394246
02/22/23, 148.87, 149.95, 147.16, 148.91, 51011312
